,id,purpose,go_with,weather,time,viettel_no_0,viettel_no_1,viettel_no_2,score,direction
0,11156,travel,alone,sunny,afternoon,1,0,0,0,0
1,4297,travel,friends,sunny,morning,1,1,0,0,0
2,13301,travel,friends,sunny,afternoon,1,1,0,0,0
3,9920,travel,friends,sunny,afternoon,1,1,0,30,0
4,8424,travel,family,sunny,morning,1,1,0,0,0
5,6771,travel,family,sunny,morning,1,1,0,0,0
6,15308,travel,family,sunny,afternoon,1,0,0,29,0
7,14139,travel,family,sunny,afternoon,1,1,0,0,0
8,17824,travel,family,sunny,afternoon,1,1,0,25,0
9,16372,travel,alone,sunny,afternoon,1,0,0,0,1
10,1573,travel,alone,sunny,afternoon,1,1,0,0,0
11,11835,work,alone,sunny,morning,1,1,1,0,0
12,19253,work,alone,sunny,morning,1,1,0,32,0
13,10399,work,alone,sunny,morning,1,0,0,0,1
14,3502,work,alone,sunny,morning,1,1,0,0,0
15,3051,travel,alone,sunny,afternoon,1,0,0,13,0
16,17620,travel,friends,sunny,morning,1,0,0,0,0
17,9606,travel,friends,sunny,afternoon,1,1,0,0,0
18,15884,travel,friends,sunny,afternoon,1,1,0,15,0
19,7022,travel,friends,sunny,morning,1,1,0,0,0
20,17244,travel,alone,sunny,afternoon,1,0,0,0,1
21,13688,work,alone,sunny,morning,1,1,1,0,0
22,4979,work,alone,sunny,morning,1,0,0,0,1
23,14896,work,alone,sunny,morning,1,0,0,15,0
24,16583,travel,alone,sunny,afternoon,1,0,0,9,0
25,2492,travel,friends,sunny,morning,1,0,0,0,0
26,18157,travel,friends,sunny,morning,1,1,0,12,0
27,11738,travel,friends,sunny,morning,1,0,0,0,0
28,14840,travel,friends,sunny,morning,1,1,0,11,0
29,3838,travel,friends,sunny,afternoon,1,1,0,9,0
30,13931,travel,friends,sunny,afternoon,1,1,0,8,0
31,11761,travel,friends,sunny,morning,1,0,0,0,0
32,5723,travel,friends,sunny,afternoon,1,1,0,0,0
33,16237,travel,alone,sunny,morning,1,0,0,8,0
34,19985,work,alone,sunny,morning,1,0,0,0,1
35,5658,travel,alone,sunny,morning,1,0,0,0,0
36,9408,travel,friends,sunny,morning,1,0,0,0,0
37,5989,travel,friends,sunny,morning,1,1,0,0,0
38,15606,travel,friends,sunny,afternoon,1,1,0,0,0
39,13667,travel,friends,sunny,afternoon,1,1,0,0,0
40,16399,travel,friends,sunny,afternoon,1,1,0,0,0
41,12202,travel,friends,sunny,afternoon,1,1,0,7,0
42,1171,travel,family,sunny,morning,1,1,0,0,0
43,10882,travel,family,sunny,morning,1,1,0,8,0
44,6308,travel,family,sunny,morning,1,1,0,0,0
45,15590,travel,family,sunny,morning,1,0,0,0,0
46,6695,travel,family,sunny,afternoon,1,1,0,0,0
47,11834,travel,alone,sunny,afternoon,1,0,0,0,1
48,18151,travel,alone,sunny,evening,1,0,0,8,0
49,8159,work,alone,sunny,morning,1,1,1,0,0
50,19448,work,alone,sunny,morning,1,1,0,7,0
51,19309,work,alone,sunny,morning,1,0,0,0,0
52,2182,travel,friends,sunny,morning,1,0,0,7,0
53,7708,travel,friends,sunny,morning,1,0,0,8,0
54,2231,travel,friends,sunny,morning,1,1,0,6,0
55,19843,travel,friends,sunny,afternoon,1,0,0,0,0
56,19423,travel,friends,sunny,morning,1,1,0,0,0
57,15869,travel,friends,sunny,afternoon,1,1,0,0,0
58,17580,travel,friends,sunny,afternoon,1,1,0,0,0
59,8695,travel,friends,sunny,evening,1,0,0,0,0
60,6663,travel,friends,sunny,evening,1,1,0,0,0
61,6679,travel,friends,sunny,afternoon,1,0,0,0,0
62,13708,travel,friends,sunny,morning,1,1,0,0,0
63,2869,travel,alone,sunny,morning,1,0,0,4,0
64,6967,travel,alone,sunny,evening,1,0,0,0,1
65,12345,travel,alone,sunny,afternoon,1,1,0,7,0
66,8871,travel,alone,sunny,afternoon,1,0,0,7,0
67,19527,work,alone,sunny,morning,1,1,1,0,0
68,8033,work,alone,sunny,morning,1,1,0,0,0
69,7320,work,alone,sunny,morning,1,0,0,0,1
70,7527,work,alone,sunny,morning,1,0,0,8,0
71,18413,work,alone,sunny,morning,1,1,0,0,0
72,19892,travel,alone,sunny,morning,1,0,0,0,0
73,17634,travel,friends,sunny,morning,1,0,0,0,0
74,13819,travel,friends,sunny,morning,1,0,0,28,0
75,3463,travel,friends,sunny,afternoon,1,0,0,0,0
76,5226,travel,friends,sunny,afternoon,1,1,0,0,0
77,15209,travel,friends,sunny,afternoon,1,1,0,27,0
78,19885,travel,friends,sunny,afternoon,1,1,0,34,0
79,6297,travel,alone,sunny,afternoon,1,0,0,0,1
80,10278,work,alone,sunny,morning,1,1,1,0,0
81,15570,work,alone,sunny,morning,1,1,1,25,0
82,13571,work,alone,sunny,morning,1,0,0,0,1
83,1260,work,alone,sunny,morning,1,0,0,0,0
84,16512,work,alone,sunny,morning,1,1,0,0,0
85,5916,travel,alone,sunny,morning,1,0,0,0,0
86,17871,travel,friends,sunny,morning,1,0,0,0,0
87,8028,travel,friends,sunny,morning,1,1,0,0,0
88,7632,travel,friends,sunny,afternoon,1,1,0,0,0
89,6197,travel,friends,sunny,afternoon,1,1,0,29,0
90,19048,travel,friends,sunny,afternoon,1,1,0,0,0
91,10226,travel,friends,sunny,afternoon,1,1,0,24,0
92,16198,travel,family,sunny,morning,1,1,0,0,0
93,18775,travel,family,sunny,morning,1,1,0,30,0
94,11361,travel,family,sunny,afternoon,1,0,0,0,0
95,2293,travel,family,sunny,afternoon,1,1,0,0,0
96,8242,work,alone,sunny,morning,1,0,0,20,0
97,14796,travel,alone,sunny,morning,1,0,0,0,0
98,9034,travel,friends,sunny,morning,1,0,0,76,0
99,1287,travel,friends,sunny,afternoon,1,0,0,0,0
100,7579,travel,friends,sunny,afternoon,1,1,0,0,0
101,4102,travel,friends,sunny,afternoon,1,1,0,0,0
102,9342,travel,friends,sunny,morning,1,1,0,74,0
103,11504,travel,alone,sunny,afternoon,1,0,0,0,1
104,9807,travel,alone,sunny,evening,1,1,0,0,0
105,9126,work,alone,sunny,morning,1,1,1,0,0
106,15735,work,alone,sunny,morning,1,1,0,79,0
107,16335,work,alone,sunny,morning,1,0,0,0,0
108,11037,travel,alone,sunny,afternoon,1,0,0,0,0
109,4230,travel,friends,sunny,morning,1,0,0,0,0
110,1685,travel,friends,sunny,morning,1,1,0,0,0
111,9490,travel,friends,sunny,afternoon,1,0,0,11,0
112,9149,travel,friends,sunny,afternoon,1,1,0,0,0
113,18194,travel,friends,sunny,afternoon,1,1,0,8,0
114,1979,travel,friends,sunny,afternoon,1,1,0,0,0
115,17700,travel,friends,sunny,afternoon,1,0,0,0,0
116,13156,travel,friends,sunny,evening,1,1,0,0,0
117,8254,travel,friends,sunny,morning,1,0,0,0,0
118,3055,travel,friends,sunny,afternoon,1,1,0,10,0
119,14227,travel,alone,sunny,afternoon,1,0,0,9,0
120,3000,work,alone,sunny,morning,1,1,1,0,0
121,19189,work,alone,sunny,morning,1,1,0,0,0
122,9388,work,alone,sunny,morning,1,0,0,0,1
123,19299,work,alone,sunny,morning,1,0,0,6,0
124,4011,travel,alone,sunny,morning,1,0,0,0,0
125,1823,travel,friends,sunny,morning,1,1,0,0,0
126,8284,travel,friends,sunny,afternoon,1,1,0,0,0
127,16630,travel,friends,sunny,evening,1,1,0,14,0
128,3192,travel,friends,sunny,afternoon,1,1,0,17,0
129,14639,travel,alone,sunny,evening,1,0,0,20,1
130,1559,work,alone,sunny,morning,1,1,0,0,0
131,3653,work,alone,sunny,morning,1,0,0,26,1
132,8690,work,alone,sunny,morning,1,0,0,0,0
