,id,mobile_plan,accept
0,11156.0,datasilver,1.0
1,4297.0,socialmediagold,1.0
2,13301.0,datasilver,1.0
3,9920.0,socialmediagold,1.0
4,8424.0,datasilver,1.0
5,6771.0,socialmediagold,0.0
6,15308.0,datasilver,1.0
7,14139.0,datasilver,1.0
8,17824.0,socialmedia,1.0
9,16372.0,datacall,1.0
10,1573.0,datagold,1.0
11,11835.0,socialmedia,1.0
12,19253.0,datagold,1.0
13,10399.0,socialmediagold,1.0
14,3502.0,socialmedia,1.0
15,3051.0,datasilver,0.0
16,17620.0,datacall,1.0
17,9606.0,datasilver,1.0
18,15884.0,datasilver,0.0
19,7022.0,socialmediagold,1.0
20,17244.0,datacall,0.0
21,13688.0,datacall,1.0
22,4979.0,socialmediagold,1.0
23,14896.0,datasilver,1.0
24,16583.0,datasilver,1.0
25,2492.0,socialmedia,1.0
26,18157.0,socialmediagold,0.0
27,11738.0,socialmedia,1.0
28,14840.0,socialmedia,1.0
29,3838.0,datasilver,1.0
30,13931.0,datasilver,1.0
31,11761.0,socialmedia,1.0
32,5723.0,socialmediagold,1.0
33,16237.0,socialmedia,1.0
34,19985.0,socialmediagold,1.0
35,5658.0,datasilver,0.0
36,9408.0,socialmedia,1.0
37,5989.0,socialmediagold,1.0
38,15606.0,socialmedia,0.0
39,13667.0,socialmedia,1.0
40,16399.0,datasilver,1.0
41,12202.0,socialmediagold,1.0
42,1171.0,datasilver,1.0
43,10882.0,socialmediagold,0.0
44,6308.0,datacall,1.0
45,15590.0,datasilver,1.0
46,6695.0,datasilver,1.0
47,11834.0,datacall,0.0
48,18151.0,socialmedia,1.0
49,8159.0,datacall,1.0
50,19448.0,datagold,0.0
51,19309.0,datasilver,1.0
52,2182.0,socialmedia,1.0
53,7708.0,datacall,0.0
54,2231.0,socialmediagold,1.0
55,19843.0,socialmedia,0.0
56,19423.0,socialmedia,1.0
57,15869.0,socialmedia,1.0
58,17580.0,datasilver,1.0
59,8695.0,socialmedia,0.0
60,6663.0,datasilver,1.0
61,6679.0,socialmedia,0.0
62,13708.0,socialmediagold,1.0
63,2869.0,socialmedia,1.0
64,6967.0,datacall,1.0
65,12345.0,datagold,1.0
66,8871.0,socialmedia,1.0
67,19527.0,socialmedia,1.0
68,8033.0,datagold,0.0
69,7320.0,socialmediagold,1.0
70,7527.0,datasilver,0.0
71,18413.0,socialmedia,1.0
72,19892.0,datasilver,1.0
73,17634.0,socialmedia,1.0
74,13819.0,datacall,0.0
75,3463.0,socialmedia,1.0
76,5226.0,socialmedia,0.0
77,15209.0,datasilver,1.0
78,19885.0,socialmediagold,0.0
79,6297.0,datacall,1.0
80,10278.0,socialmedia,1.0
81,15570.0,datacall,0.0
82,13571.0,socialmediagold,1.0
83,1260.0,datasilver,1.0
84,16512.0,socialmedia,1.0
85,5916.0,datasilver,1.0
86,17871.0,socialmedia,1.0
87,8028.0,socialmediagold,0.0
88,7632.0,socialmedia,1.0
