,id,gender,age,education,profession,income,marital_status,continent,fb_freq,yt_freq,insta_freq,use_less_than_2GB,use_2GB_to_4GB,num_child
0,11156,female,21,unknown,unemployed,lower-middle,single,oceania,0,0,9,8,3, 2
1,4297,other,22,unknown,unemployed,lower-middle,single,europe,0,0,23,7,2,  2
2,13301,female,24,unknown,unemployed,lower-middle,single,asia,0,0,23,5,2, 1
3,9920,female,24,unknown,unemployed,lower-middle,single,europe,0,0,21,7,2,  1
4,8424,female,25,unknown,unemployed,lower-middle,single,america,0,0,22,5,3,  1
5,6771,female,21,unknown,unemployed,lower-middle,single,asia,0,0,14,5,3,   1
6,15308,female,24,unknown,unemployed,lower-middle,single,europe,0,0,19,8,2,   2
7,14139,female,22,unknown,unemployed,lower-middle,single,america,0,0,10,6,3, 2
8,17824,other,24,unknown,unemployed,lower-middle,single,asia,0,0,17,6,2,  2
9,16372,other,24,unknown,unemployed,lower-middle,single,europe,0,0,11,8,2, 1
10,1573,female,23,unknown,unemployed,lower-middle,single,asia,0,0,16,8,1,    2
11,11835,female,23,unknown,unemployed,lower-middle,single,europe,0,0,22,6,3,2
12,19253,female,22,unknown,unemployed,lower-middle,single,america,0,0,23,8,1,   1
13,10399,female,21,unknown,unemployed,lower-middle,single,europe,0,0,23,5,3,  1
14,3502,female,25,unknown,unemployed,lower-middle,single,america,0,0,16,4,3, 1
15,3051,male,25,grad,employed,middle,single,asia,0,0,8,5,0,    0
16,17620,male,24,grad,employed,middle,single,europe,0,1,7,5,0,   0
17,9606,male,23,grad,employed,middle,single,america,0,1,7,8,0, 0
18,15884,male,24,grad,employed,middle,single,asia,0,0,6,8,1,  0
19,7022,male,22,grad,employed,middle,single,america,0,1,5,8,0,    0
20,17244,male,25,grad,employed,middle,single,america,0,0,8,8,1,  0
21,13688,other,25,grad,employed,middle,single,oceania,0,0,8,7,1,   0
22,4979,male,21,grad,employed,middle,single,europe,0,1,4,7,1,  0
23,14896,male,22,grad,employed,middle,single,america,0,1,6,8,0, 0
24,16583,male,49,unknown,student,lower,single,europe,0,4,2,3,0, 0
25,2492,male,48,unknown,student,lower,single,europe,0,8,2,3,0,0
26,18157,male,48,unknown,student,lower,single,america,0,8,1,3,0,   0
27,11738,male,46,unknown,student,lower,single,europe,0,6,1,3,0,   0
28,14840,male,47,unknown,student,lower,single,europe,0,7,3,1,0,    0
29,3838,male,46,unknown,student,lower,single,asia,0,5,3,1,0, 0
30,13931,male,46,unknown,student,lower,single,europe,0,5,2,1,0,    0
31,11761,male,48,unknown,student,lower,single,america,0,8,1,2,0,  0
32,5723,male,48,unknown,student,lower,single,europe,0,7,1,2,0, 0
33,16237,other,46,unknown,student,lower,single,america,0,6,1,1,0,0
34,19985,male,46,unknown,student,lower,single,europe,0,7,2,3,0, 0
35,5658,male,49,grad,employed,middle,married,america,0,1,3,1,1, 1
36,9408,male,48,grad,employed,middle,married,europe,0,3,2,2,0,2
37,5989,male,49,grad,employed,middle,married,oceania,0,3,1,3,0,   2
38,15606,male,47,grad,employed,middle,married,america,0,1,1,3,1,    4
39,13667,male,46,grad,employed,middle,married,europe,1,1,2,1,1,    3
40,16399,male,47,grad,employed,middle,married,america,0,3,1,2,0,    1
41,12202,male,49,grad,employed,middle,married,europe,0,3,2,2,0,3
42,1171,other,49,grad,employed,middle,married,europe,0,1,1,3,0,    4
43,10882,male,46,grad,employed,middle,married,asia,0,2,2,3,1,  1
44,6308,male,46,grad,employed,middle,married,europe,1,1,3,3,1,   4
45,15590,male,48,grad,employed,middle,married,america,0,3,3,2,0,    1
46,6695,male,47,grad,employed,middle,married,europe,0,3,1,3,1,   1
47,11834,male,46,grad,employed,middle,married,europe,0,1,1,1,0,    2
48,18151,male,47,grad,employed,middle,married,asia,1,2,2,3,0,  1
49,8159,male,46,grad,employed,middle,married,europe,1,3,3,2,1, 2
50,19448,male,48,grad,employed,middle,married,europe,0,1,3,3,0,1
51,19309,male,48,grad,employed,middle,married,oceania,1,3,2,1,0,   1
52,2182,male,24,undergrad,student,lower,single,europe,3,1,1,0,2,    0
53,7708,male,21,undergrad,student,lower,single,america,3,0,3,0,2, 0
54,2231,male,25,undergrad,student,lower,single,america,2,1,1,0,2,   0
55,19843,male,22,undergrad,student,lower,single,europe,2,1,2,1,1,  0
56,19423,male,22,undergrad,student,lower,single,oceania,1,1,1,1,3, 0
57,15869,other,22,undergrad,student,lower,single,europe,2,0,3,1,1,  0
58,17580,other,25,undergrad,student,lower,single,america,2,1,3,1,2, 0
59,8695,male,23,undergrad,student,lower,single,europe,1,1,2,1,3,   0
60,6663,male,22,undergrad,student,lower,single,america,3,1,3,1,3,   0
61,6679,male,25,undergrad,student,lower,single,america,1,1,2,0,1,   0
62,13708,other,21,undergrad,student,lower,single,america,3,0,3,1,3,   0
63,2869,other,21,undergrad,student,lower,single,oceania,1,1,1,0,1,  0
64,6967,male,21,undergrad,student,lower,single,europe,3,0,2,1,1,    0
65,12345,male,21,undergrad,student,lower,single,europe,3,1,1,1,1,0
66,8871,male,21,undergrad,student,lower,single,america,1,0,2,1,3,  0
67,19527,male,24,undergrad,student,lower,single,europe,1,0,3,1,3,    0
68,8033,male,21,undergrad,student,lower,single,asia,3,1,2,0,3,    0
69,7320,male,21,undergrad,student,lower,single,oceania,1,1,1,1,3,   0
70,7527,male,21,undergrad,student,lower,single,america,1,0,3,1,3,0
71,18413,male,25,undergrad,student,lower,single,america,2,1,1,1,3, 0
72,19892,male,28,grad,student,middle,single,asia,2,16,6,3,0,0
73,17634,male,26,grad,student,lower-middle,single,europe,2,12,6,2,1,    0
74,13819,male,26,grad,student,lower-middle,single,america,1,18,5,3,1,  0
75,3463,male,27,grad,student,middle,single,asia,3,21,8,1,1,  0
76,5226,male,29,grad,student,middle,single,america,2,20,7,3,0,    0
77,15209,male,27,grad,student,middle,single,america,3,18,5,1,0,    0
78,19885,male,27,grad,student,middle,single,europe,3,21,7,3,0, 0
79,6297,male,30,grad,student,lower-middle,single,america,3,13,6,3,0, 0
80,10278,male,26,grad,student,lower-middle,single,europe,1,15,8,2,1,   0
81,15570,other,28,grad,student,lower-middle,single,asia,2,12,7,3,1,   0
82,13571,male,28,grad,student,lower-middle,single,asia,2,10,7,2,0, 0
83,1260,male,27,grad,student,middle,single,asia,3,19,4,1,0,   0
84,16512,male,28,grad,student,lower-middle,single,europe,1,13,5,1,1,  0
